Query,Singlequotes,Doublequotes,Punctuations,1-linecmt,Mulline-cmt,Spaces,Safekywrd,Harmflkywrd,Percentages,Log_oprtr,Operator,Nulls,Hex-dec,Db_info,Roles,Ntwr_cmds,Lang_cmds,Alphabets,Digits,Spl_char,Label
10817,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
co*marca,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0
SELECT SUM ( Quantity )  AS TotalItemsOrdered FROM OrderDetails;,0,0,3,0,0,9,3,1,0,2,2,0,0,0,0,0,1,52,0,0,0
SELECT later ( s ) FROM member INNER JOIN,0,0,2,0,0,9,4,0,0,2,2,0,0,0,0,0,1,31,0,0,0
koczian@decoaching.is,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,19,0,0,0
SELECT COUNT ( earlier )  FROM experience,0,0,2,0,0,7,1,0,0,0,0,0,0,0,0,0,1,32,0,0,0
19294,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
SELECT * FROM easy,0,0,0,0,0,4,1,1,0,0,1,0,0,0,0,0,1,14,0,0,0
2.25315E+15,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,8,0,0
SELECT TOP 3 * FROM worse,0,0,0,0,0,6,2,0,0,1,2,0,0,0,0,0,1,18,1,0,0
57879425v,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0
"  SELECT MAKETIME ( 11, 35,   4 ) ;",0,0,5,0,0,8,1,0,0,0,0,0,0,0,0,0,1,14,5,0,0
SELECT * FROM than WHERE peace = 'care' LIMIT 3,2,0,2,0,0,10,1,0,0,0,2,0,0,0,0,0,1,33,1,2,0
SELECT * FROM particular WHERE past NOT LIKE 'shout%',2,0,2,0,0,9,2,1,1,2,4,0,0,0,0,0,1,41,0,2,0
14140,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
SELECT * FROM carbon WHERE organized BETWEEN 'ants' AND 'girl',4,0,4,0,0,10,3,0,0,4,5,0,0,0,0,0,1,48,0,4,0
"   SELECT world, dress, killFROM station WHERE letter  IS NOT NULL",0,0,2,0,0,10,2,0,0,2,2,1,0,0,0,0,1,51,0,0,0
37795,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
SELECT * FROM who WHERE pure BETWEEN round09/01/1996believed AND four15/31/1996build,0,0,0,0,0,10,2,0,0,3,8,0,0,0,0,0,1,54,16,0,0
